Part,Value,Device,Package,Description,DESCRIPTION,DIGIKEY#,MANF,MF,MOUSER#,MPN,NO_BOM
C2,100pF,CAP0805,805,Capacitor,,311-1111-1-ND,,,603-CC805JRNPO9BN101,CC0805JRNPO9BN101,
C3,0.1uF,CAP0805,805,Capacitor,,311-1088-1-ND,,,603-RC0805FR-07100RL,CC0603KRX7R7BB104,
C4,0.1uF,CAP0805,805,Capacitor,,311-1088-1-ND,,,603-CC603KRX7R7BB104,CC0603KRX7R7BB104,
C5,0.1uF,CAP0805,805,Capacitor,,311-1088-1-ND,,,603-CC603KRX7R7BB104,CC0603KRX7R7BB104,
C7,0.1uF,CAP0805,805,Capacitor,,311-1088-1-ND,,,603-CC603KRX7R7BB104,CC0603KRX7R7BB104,
C8,4.7uF,CAP0805,805,Capacitor,,311-1871-1-ND,,,603-CC805KKX5R8BB475,CC0805KKX5R8BB475,
C9,1uF,CAP0805,805,Capacitor,,311-1365-1-ND,,,603-CC805KKX7R7BB105,CC0805KKX7R7BB105,
C10,0.1uF,CAP0805,805,Capacitor,,311-1088-1-ND,,,603-CC603KRX7R7BB104,CC0603KRX7R7BB104,
C12,0.1uF,CAP0805,805,Capacitor,,311-1088-1-ND,,,603-CC603KRX7R7BB104,CC0603KRX7R7BB104,
C13,0.1uF,CAP0805,805,Capacitor,,311-1088-1-ND,,,603-CC603KRX7R7BB104,CC0603KRX7R7BB104,
C14,0.1uF,CAP0805,805,Capacitor,,311-1088-1-ND,,,603-CC603KRX7R7BB104,CC0603KRX7R7BB104,
C15,0.1uF,CAP0805,805,Capacitor,,311-1088-1-ND,,,603-CC603KRX7R7BB104,CC0603KRX7R7BB104,
J1,FTDI,FTDI_BASICPTH,FTDI_BASIC,FTDI Basic header with labels,,768-1129-1-ND,,,895-FT231XS-R,FT231XS-R,
LED1,,LEDCHIPLED_0805,CHIPLED_0805,LED,,475-1196-1-ND,,,720-LYL29KH1K226Z,LY L29K-H1K2-26-Z,
LED2,,LEDCHIPLED_0805,CHIPLED_0805,LED,LED,475-1196-1-ND,,,720-LYL29KH1K226Z,LY L29K-H1K2-26-Z,
LED3,,LEDCHIPLED_0805,CHIPLED_0805,LED,LED,475-1196-1-ND,,,720-LYL29KH1K226Z,LY L29K-H1K2-26-Z,
MICS4514,SPARKFUN-SENSORS_MICS-4514,SPARKFUN-SENSORS_MICS-4514,SPARKFUN-SENSORS_MICS_10-SMD,Metal oxide MEMS carbon monoxide (CO) and NOx sensor in an SMD package.,,,SensorTech,,,MiCS-4514,
MOSFET,SPARKFUN-DISCRETESEMI_MOSFET-NCHANNELBSS138,SPARKFUN-DISCRETESEMI_MOSFET-NCHANNELBSS138,SPARKFUN-DISCRETESEMI_SOT23-3,Common NMOSFET Parts,,BSS138-FDICT-ND,,,621-BSS138-7-F,BSS138-7-F,
R1,10K,RESISTOR0805-RES,805,Resistor,,311-10KARCT-ND,,,603-RC0805JR-0710KL,RC0805JR-0710KL,
R2,47,RESISTOR0805-RES,805,Resistor,,311-47ARCT-ND,,,603-RC0805JR-0747RL,RC0805JR-0747RL,
R3,1.5K,RESISTOR0805-RES,805,Resistor,,YAG1814CT-ND,,,603-RT0805BRD071K5L,RT0805BRD071K5L,
R4,47,RESISTOR0805-RES,805,Resistor,,311-47ARCT-ND,,,603-RC0805JR-0747RL,RC0805JR-0747RL,
R5,10K,RESISTOR0805-RES,805,Resistor,,311-10KARCT-ND,,,603-RC0805JR-0710KL,RC0805JR-0710KL,
R6,10K,RESISTOR0805-RES,805,Resistor,,311-10KARCT-ND,,,603-RC0805JR-0710KL,RC0805JR-0710KL,
R7,10K,RESISTOR0805-RES,805,Resistor,,311-10KARCT-ND,,,603-RC0805JR-0710KL,RC0805JR-0710KL,
R8,100K,RESISTOR0805-RES,805,Resistor,,541-82.0CCT-ND,,,603-RC0805FR-07100KL,RC0805FR-07100KL,
R9,100K,RESISTOR0805-RES,805,Resistor,,541-82.0CCT-ND,,,603-RC0805FR-07100KL,RC0805FR-07100KL,
R10,47,RESISTOR0805-RES,805,Resistor,,311-47ARCT-ND,,,603-RC0805JR-0747RL,RC0805JR-0747RL,
R13,10K,RESISTOR0805-RES,805,Resistor,,311-10KARCT-ND,,,603-RC0805JR-0710KL,RC0805JR-0710KL,
R14,47K,RESISTOR0805-RES,805,Resistor,,RHM47KKCT-ND,,,755-ESR10EZPJ473,ESR10EZPJ473,
R15,82,RESISTOR0805-RES,805,Resistor,,541-82.0CCT-ND,,,CRCW080582R0FKEA,CRCW080582R0FKEA,
R16,22K,RESISTOR0805-RES,805,Resistor,,311-22KARCT-ND,,,603-RC0805JR-0722KL,RC0805JR-0722KL,
R17,51,RESISTOR0805-RES,805,Resistor,,RHM51KCT-ND,,,755-ESR10EZPJ510,ESR10EZPJ510,
R18,82,RESISTOR0805-RES,805,Resistor,,541-82.0CCT-ND,,,CRCW080582R0FKEA,CRCW080582R0FKEA,
R19,100K,RESISTOR0805-RES,805,Resistor,,311-100KCRCT-ND,,,603-RC0805FR-07100KL,RC0805FR-07100KL,
R20,100,RESISTOR0805-RES,805,Resistor,,311-100CRCT-ND,,,603-RC0805FR-07100RL,RC0805FR-07100RL,
RESET,TAC_SWITCHSMD,TAC_SWITCHSMD,TACTILE-SWITCH-SMD,Momentary Switch,,CKN9104CT-ND,,,611-PTS525SM15SMTR2,PTS525SM15SMTR2 LFS,
U1,ATMEGA328P,ATMEGA328P_TQFP,TQFP32-08,,,ATMEGA328P-AU-ND,,,556-ATMEGA328P-AU,ATMEGA328PB-AU,
U2,TSL2561,TSL2561FN,FN-6,TSL2561 illumination sensor,,TSL2561-FNCT-ND,AMS-TAOS-USA-Inc.,,856-TSL2561T,TSL2561FN,
U3,OPA344,OPA344,SOT23-5,Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.,,296-41475-1-ND,,,595-OPA344NA/3K,OPA344NA/3K,
U4,MPL115A,MPL115A,LGA8,MPL115A1 (SPI) and MPL115A2 (I2C) Miniature Digital Barometer,,MPL115A2-ND,,,841-MPL115A2,MPL115A2,
U6,ADMP401,ADMP401,ADMP401,Omnidirection bottom-port MEMS microphone,,INMP401ACEZ-R7CT-ND,,,,INMP401ACEZ-R7,
U7,SHT31-DIS,SHT31-DIS,SHT3X,,,1649-1011-1-ND,,,403-SHT31-DIS-B,SHT31-DIS-B,
U8,CCS811,CCS811-I2C,LGA,,,,AMS,,,CCS811,
Y1,16MHZ,RESONATOR16MHZ,RESONATOR-SMD,Resonator,,490-1198-1-ND,,,81-CSTCE16M0V53-R0,CSTCE16M0V53-R0,