Qty,Value,Device,Package,Parts,DIGIKEY#,MANF,MANF#,MF,MOUSER#,MPN,OC_NEWARK,PROD_ID,VALUE,Description
1,1.5K,RESISTOR0805-RES,805,R3,YAG1814CT-ND,Yageo,RT0805BRD071K5L,,603-RT0805BRD071K5L,RT0805BRD071K5L,unknown,,,Resistor
1,100,RESISTOR0805-RES,805,R20,311-100CRCT-NDÊ,,RC0805FR-07100RL,,603-RC0805FR-07100RL,RC0805FR-07100RL,unknown,,,Resistor
1,100pF,CAP0805,805,C2,311-1111-1-ND,,CC0805JRNPO9BN101,,603-CC805JRNPO9BN101,CC0805JRNPO9BN101,unknown,,,Capacitor
1,10K,RESISTOR0805-RES,805,R13,311-10KARCT-ND,Yageo,RC0805JR-0710KL,,603-RC0805JR-0710KL,RC0805JR-0710KL,,,,Resistor
1,16MHZ,RESONATOR16MHZ,RESONATOR-SMD,Y1,490-1198-1-ND,,CSTCE16M0V53-R0,,81-CSTCE16M0V53-R0,CSTCE16M0V53-R0,unknown,XTAL-08900,16MHZ,Resonator
1,22K,RESISTOR0805-RES,805,R16,311-22KARCT-NDÊ,,RC0805JR-0722KL,,603-RC0805JR-0722KL,RC0805JR-0722KL,unknown,,,Resistor
1,4.7uF,CAP0805,805,C8,311-1871-1-ND,,CC0805KKX5R8BB475,,603-CC805KKX5R8BB475,CC0805KKX5R8BB475,unknown,,,Capacitor
1,47K,RESISTOR0805-RES,805,R14,RHM47KKCT-ND,Rohm Semiconductor,ESR10EZPJ473,,755-ESR10EZPJ473,ESR10EZPJ473,unknown,,,Resistor
1,51,RESISTOR0805-RES,805,R17,RHM51KCT-ND,Rohm Semiconductor,ESR10EZPJ510,,755-ESR10EZPJ510,ESR10EZPJ510,unknown,,,Resistor
1,ADMP401,ADMP401,ADMP401,U6,INMP401ACEZ-R7CT-ND,,INMP401ACEZ-R7,,N/A,INMP401ACEZ-R7,,,,Omnidirection bottom-port MEMS microphone
1,ATMEGA328P,ATMEGA328P_TQFP,TQFP32-08,U1,ATMEGA328P-AU-ND,Atmel,ATMEGA328P-AU,,556-ATMEGA328P-AU,ATMEGA328P-AU,58Y6083,IC-09069,ATMEGA328P_TQFP,
1,FT231XS,FT231XS,SSOP20_L,U5,768-1129-1-ND,FTDI,FT231XS-R,,895-FT231XS-R,FT231XS-R,,IC-11524,FT231XS,FTDI FT231X Full Speed USB to Full-handshake UART
1,IAQ-CORE,IAQ-CORE,IAQ-CORE,IAQ-CORE,IAQ-CORE C-ND,ams,IAQ-CORE C,,985-IAQ-COREC,IAQ-CORE C,82Y5455,,,
1,MPL115A,MPL115A,LGA8,U4,MPL115A2-ND,Freescale Semiconductor - NXP,MPL115A2,,841-MPL115A2,MPL115A2,,,,MPL115A1 (SPI) and MPL115A2 (I2C) Miniature Digital Barometer
1,OPA344,OPA344,SOT23-5,U$3,296-41475-1-ND,Texas Instruments,OPA344NA/3K,,595-OPA344NA/3K,OPA344NA/3K,,IC-08251,,Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.
,,,,,,,,,,,,,,
1,SHOTTKY,RESISTOR0805-RES,805,R11,478-7799-1-ND,AVX,SD0805S020S0R5,,581-SD0805S020S0R5,SD0805S020S0R5,unknown,,,Resistor
1,SHT31-DIS,SHT31-DIS,SHT3X,U7,1649-1011-1-ND,,SHT31-DIS-B,,403-SHT31-DIS-B,SHT31-DIS-B,47Y1304,,,
1,TAC_SWITCHSMD,TAC_SWITCHSMD,TACTILE-SWITCH-SMD,RESET,CKN9104CT-ND,C&K Components,PTS525SM15SMTR2 LFS,,611-PTS525SM15SMTR2,PTS525SM15SMTR2 LFS,,SWCH-08247,TAC_SWITCHSMD,Momentary Switch
1,TSL2561,TSL2561FN,FN-6,U2,TSL2561-FNCT-ND,AMS-TAOS-USA-Inc.,TSL2561FN,,856-TSL2561T,TSL2561FN,82Y5564,IC-11791,,TSL2561 illumination sensor
1,USB-MICROB,USB-MICROB,USB-MICROB,J3,,,,,,,,CONN-09505,,USB Connectors
2,100K,RESISTOR0805-RES,805,R8,311-100KCRCT-NDÊ,Yageo,RC0805FR-07100KL,,603-RC0805FR-07100KL,RC0805FR-07100KL,,,,
2,27,RESISTOR0805-RES,805,R12,,Yageo,RC0603JR-0727RL,,603-RC0603JR-0727RL,RC0603JR-0727RL,,,,
2,82,RESISTOR0805-RES,805,R15,541-82.0CCT-NDÊ,,CRCW080582R0FKEA,,71-CRCW0805-82-E3,CRCW080582R0FKEA,,,,
2,MCP1703CB,MCP1703CB,SOT23,U8,MCP1703T-3302E/CBCT-ND,,MCP1703T-3302E/CB,,579-MCP1703T-3302ECB,MCP1703T-3302E/CB,,,,
3,,LEDCHIPLED_0805,CHIPLED_0805,LED2,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
3,47,RESISTOR0805-RES,805,R4,311-47ARCT-ND,,RC0805JR-0747RL,,603-RC0805JR-0747RL,RC0805JR-0747RL,,,,
4,0.1uF,CAP0805,805,C12,311-1088-1-ND,,CC0603KRX7R7BB104,,603-CC603KRX7R7BB104,CC0603KRX7R7BB104,,,,
4,10K,RESISTOR0805-RES,805,R1,311-10KARCT-ND,Yageo,RC0805JR-0710KL,,603-RC0805JR-0710KL,RC0805JR-0710KL,,,,
5,1uF,CAP0805,805,C1,311-1365-1-ND,,CC0805KKX7R7BB105,,603-CC805KKX7R7BB105,CC0805KKX7R7BB105,,,,
6,0.1uF,CAP0805,805,C3,311-1088-1-ND,,CC0603KRX7R7BB104,,603-CC603KRX7R7BB104,CC0603KRX7R7BB104,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Optional,,,,,,,,,,,,,,
1,,M05X2PTH,AVR_ICSP,J2,,,,,,0,,,,Header 5x2
1,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,X1,,,,,,,,,,SMA Connector
1,SPARKFUN-DISCRETESEMI_MOSFET-NCHANNELBSS138,SPARKFUN-DISCRETESEMI_MOSFET-NCHANNELBSS138,SPARKFUN-DISCRETESEMI_SOT23-3,MOSFET,,,,,,,,TRANS-00830,,Common NMOSFET Parts
1,SPARKFUN-SENSORS_MICS-4514,SPARKFUN-SENSORS_MICS-4514,SPARKFUN-SENSORS_MICS_10-SMD,MICS4514,,,,,,,,COMP-12310,,Metal oxide MEMS carbon monoxide (CO) and NOx sensor in an SMD package.
1,RFM69HW,LOWPOWERLAB_RFM69,LOWPOWERLAB_RFM69W-MINPADS,U$4,,,,,,,,,,