Qty,Value,Device,Package,Parts,Description,MPN
1,USB-MICROB,USB-MICROB,USB-MICROB,J3,USB Connectors,47346-0001
1,ATMEGA328P,ATMEGA328P_TQFP,TQFP32-08,U1,ATMEGA328P,ATMEGA328PB-AU
1,BMP280,BMP280,BMP280,U9,The BMP280 is an absolute barometric pressure sensor especially designed for mobile applications. The sensor module is housed in an extremely compact 8-pin metal-lid LGA package with a footprint of only 2.0 ля 2.5 mm2 and 0.95 mm package height. Its small,BMP280
1,100pF,CAP0805,805,C2,Capacitor,CC0805JRNPOABN101
1,10uF,CAP0805,805,C4,Capacitor,CC0805KKX5R6BB106
1,4.7uF,CAP0805,805,C8,Capacitor,CC0805KKX7R6BB475
10,0.1uF,CAP0805,805,C5-C6-C7-C10-C11-C12-C13-C14-C15-C16,Capacitor,CC0805KRX7R9BB104
3,1uF,CAP0805,805,C1-C3-C9,Capacitor,CC0805ZRY5V8BB105
1,16MHZ,RESONATOR16MHZ,RESONATOR-SMD,Y1,Resonator,CSTCE16M0V53-R0
1,FT231XS,FT231XS,SSOP20_L,U5,FTDI FT231X Full Speed USB to Full-handshake UART,FT231XQ-R
1,IAQ-CORE,IAQ-CORE,IAQ-CORE,IAQ-CORE,IAQ-CORE,IAQ-CORE C
1,ADMP401,ADMP401,ADMP401,U6,Omnidirection bottom-port MEMS microphone,INMP401ACEZ-R7
2,,LEDCHIPLED_0805,CHIPLED_0805,RX- TX,LED,LG R971-KN-1
1,MCP1703CB,MCP1703CB,SOT23,U8,250 mA- 16V- Low Quiescent Current LDO Regulator,MCP1703T-2502E/CB
1,OPA344,OPA344,SOT23-5,U3,Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.,OPA344NA/3K
1,100K,RESISTOR0805-RES,805,R8,Resistor,RC0805FR-07100KL 
6,10K,RESISTOR0805-RES,805,R1-R2-R5-R6-R7-R13,Resistor,RC0805FR-0710KL
1,1.5K,RESISTOR0805-RES,805,R3,Resistor,RC0805FR-071K5L 
2,1K,RESISTOR0805-RES,805,R4-R14,Resistor,RC0805FR-071KL
2,27,RESISTOR0805-RES,805,R12-R21,Resistor,RC0805FR-0727RL 
1,470,R-US_R0603,R0603,R16,RESISTOR- American symbol,RC0805FR-07470RL 
2,47,RESISTOR0805-RES,805,R9-R10,Resistor,RC0805FR-0747RL 
1,RFM69HW,LOWPOWERLAB_RFM69,LOWPOWERLAB_RFM69W-MINPADS,U4,RFM Radio,RFM69HW
1,SHOTTKY,RESISTOR0805-RES,805,R11,Resistor,SD0805S040S0R5
1,SHT35,SHT3X,SHT3X,U2,SHT3x - Digital Temperature and Humidity Sensor,SHT35-DIS-B
1,WS2812B3535,WS2812B3535,LED3535,LED1,LED,SK6812 mini
1,TSL2591,LIGHT_TSL2591,DFN6_TAOS,U10,TSL2591 Light-To-Digital Sensor,TSL25911FN 